Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL16878,CC(C)(C)c1cc(-c2nnc(N=C(N)N)o2)cc(C(C)(C)C)c1O,IC50,23000,nM
CHEMBL54945,CS(=O)(=O)c1ccc(-c2cc(Cl)c(Cl)cc2-c2ccc(F)cc2)cc1,IC50,240,nM
CHEMBL1241992,Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,IC50,39000,nM
CHEMBL1221795,CS(=O)(=O)c1ccc(C(CCF)=C(c2ccccc2)c2ccccc2)cc1,IC50,100000,nM
CHEMBL271103,CC(C)(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,IC50,10649764.4,nM
CHEMBL157714,C=Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,IC50,6,nM
CHEMBL184281,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,IC50,4800,nM
CHEMBL299251,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,IC50,170,nM
CHEMBL183970,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccc(F)cc1F,IC50,8400,nM
CHEMBL300710,CC(C)(O)CSc1ncc(C(F)(F)F)cc1-c1ccc(S(C)(=O)=O)cc1,IC50,200,nM
CHEMBL558340,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,IC50,3,nM
CHEMBL296220,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2Oc2ccccc2)cc1,IC50,200,nM
CHEMBL2303697,CS(=O)(=O)c1ccc(C2=C(c3ccc(O[C@@H]4O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H]4O)cc3)C(=O)OC2)cc1,IC50,33000,nM
CHEMBL2096836,Cc1cc(=O)c(Oc2ccc(F)cc2F)c(-c2ccc([S@+](C)[O-])cc2)o1,IC50,270,nM
CHEMBL466447,COc1ccc2c(c1)c(CC(=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,IC50,600,nM
CHEMBL89089,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,IC50,5,nM
CHEMBL276062,CCSc1nnc(-c2cc(C(C)C)c(O)c(C(C)C)c2)s1,IC50,20000,nM
CHEMBL313527,CS(=O)(=O)c1ccc(C2=C(c3ccc(O)cc3)C(=O)OC2)cc1,IC50,250000,nM
CHEMBL279608,CC(C)(C)c1cc(-c2nsc(NS(C)(=O)=O)n2)cc(C(C)(C)C)c1O,IC50,20000,nM
CHEMBL157820,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cccc(F)c2)cc1,IC50,22,nM
CHEMBL228561,COc1ccc(C2=Cc3ccccc3C2)c(OC)c1OC,IC50,1330,nM
CHEMBL325297,CS(=O)(=O)c1ccc(-n2c(-c3ccc(F)cc3)cnc2C(=O)c2ccccc2)cc1,IC50,10000,nM
CHEMBL325755,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,IC50,1698.24,nM
CHEMBL404362,CCc1c(NCc2ccc(F)cc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,IC50,102.8,nM
CHEMBL414005,COc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,IC50,272.3,nM
CHEMBL271339,CS(=O)(=O)c1ccc(-c2nc(NCc3ccccc3)cc(C(F)(F)F)n2)cc1,IC50,71,nM
CHEMBL347945,Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCC3)cc1,IC50,10000,nM
CHEMBL4649901,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.[Br-],IC50,,
CHEMBL660,NC12CC3CC(CC(C3)C1)C2,IC50,,
