gen,mean_score,best_5_score,best_10_score,best_20_score
46,-12.33157894736842,-15.566666666666666,-15.276666666666667,-14.618333333333334
47,-11.81551724137931,-15.566666666666666,-15.276666666666667,-14.438333333333336
48,-12.248022598870055,-15.566666666666666,-15.276666666666667,-14.35
49,-12.026436781609197,-15.566666666666666,-15.276666666666667,-14.511666666666667
50,-12.199425287356322,-15.566666666666666,-15.276666666666667,-14.529999999999998
51,-12.483050847457626,-15.566666666666666,-15.276666666666667,-14.616666666666665
52,-12.15,-15.566666666666666,-15.276666666666667,-14.451666666666668
53,-12.577380952380953,-15.566666666666666,-15.276666666666667,-14.593333333333334
54,-12.739285714285714,-15.566666666666666,-15.276666666666667,-14.611666666666668
55,-12.344242424242427,-15.566666666666666,-15.276666666666667,-14.676666666666668
56,-12.554166666666665,-15.566666666666666,-15.276666666666667,-14.51
57,-12.219047619047618,-15.566666666666666,-15.276666666666667,-14.553333333333333
58,-12.442105263157895,-15.566666666666666,-15.276666666666667,-14.541666666666668
59,-12.619444444444445,-15.566666666666666,-15.276666666666667,-14.603333333333333
60,-12.660233918128656,-15.566666666666666,-15.276666666666667,-14.564999999999998
61,-11.785632183908048,-15.566666666666666,-15.303333333333333,-14.589999999999998
62,-12.59122807017544,-15.566666666666666,-15.303333333333333,-14.48
63,-12.530555555555557,-15.566666666666666,-15.303333333333333,-14.583333333333334
64,-12.209941520467837,-15.566666666666666,-15.303333333333333,-14.503333333333334
65,-12.033333333333335,-15.566666666666666,-15.303333333333333,-14.486666666666668
66,-11.85357142857143,-15.566666666666666,-15.303333333333333,-14.601666666666665
67,-11.484848484848486,-15.566666666666666,-15.303333333333333,-14.431666666666667
68,-12.284967320261437,-15.566666666666666,-15.303333333333333,-14.59333333333333
69,-12.090123456790124,-15.566666666666666,-15.303333333333333,-14.53166666666667
70,-12.451785714285716,-15.566666666666666,-15.303333333333333,-14.465
71,-11.656547619047618,-15.566666666666666,-15.303333333333333,-14.676666666666666
72,-12.375862068965516,-15.566666666666666,-15.303333333333333,-14.615
73,-11.739880952380954,-15.566666666666666,-15.303333333333333,-14.668333333333337
74,-12.186904761904762,-15.566666666666666,-15.303333333333333,-14.435000000000002
75,-11.117816091954024,-15.566666666666666,-15.303333333333333,-14.408333333333331
76,-12.017543859649123,-15.566666666666666,-15.303333333333333,-14.593333333333334
77,-11.504242424242424,-15.566666666666666,-15.303333333333333,-14.36
78,-11.806432748538013,-15.566666666666666,-15.303333333333333,-14.424999999999997
79,-12.116959064327485,-15.566666666666666,-15.303333333333333,-14.14166666666667
80,-12.266101694915257,-15.566666666666666,-15.303333333333333,-14.258333333333331
81,-12.253107344632769,-15.566666666666666,-15.303333333333333,-14.550000000000002
82,-12.016374269005848,-15.566666666666666,-15.303333333333333,-14.420000000000002
