gen,mean_score,compound,best_5_score,best_10_score,best_20_score
21,-12.294152046783626,1_2_6339 3_2_8972 5_2_3177 1_4_8972 0_3_6339 0_2_4711 5_0_8972 1_2_2987 1_5_8972 0_0_7674 0_2_8972 4_2_8634 0_2_992 1_1_2987 6_3_2946 5_4_9132 4_1_4074 4_2_7674 0_2_2946 0_4_7674 5_4_8972 6_4_8972 2_6_4832 1_2_8972 3_2_6339 1_1_2946 1_3_8972 0_2_2170 0_2_6339 0_1_7087 0_2_7674 1_1_8972 5_1_8972 5_3_2987 1_2_2946 5_3_2032 2_5_6339 2_6_498 2_4_7674 6_1_1287 1_2_1778 4_3_9368 0_1_2063 4_2_2946 2_1_7087 1_2_6535 5_2_2531 2_2_4374 4_2_6076 1_0_5843 1_3_8553 2_2_3902 4_5_7087 6_0_6076 1_2_2628 0_2_1161 3_2_8553,-15.366666666666665,-14.716666666666665,-14.021666666666667
22,-12.387719298245614,1_2_134 5_1_8972 0_4_8972 0_2_1161 3_6_8972 0_1_1485 0_2_2170 1_2_8972 0_0_7674 0_2_5643 0_2_1756 4_4_8972 1_0_3177 1_2_2987 6_0_8972 3_2_8972 1_2_3177 1_2_1778 1_1_8972 2_3_8972 6_2_2987 5_6_8972 5_2_8972 1_4_8972 1_3_8972 0_2_8972 0_2_6339 0_1_7087 0_2_7674 5_2_3177 5_3_8553 5_2_1522 4_3_2157 1_1_2170 2_2_992 1_6_9368 1_1_2628 5_2_5843 0_2_5246 1_4_2713 4_0_7674 1_4_2032 1_1_7432 0_4_6803 0_2_6673 4_2_992 3_2_3564 0_4_4682 1_6_5843 1_1_4711 0_2_2531 0_4_2531 1_3_3920 1_1_6535 6_4_3182 0_6_7674 5_2_2628,-15.39333333333333,-14.753333333333334,-14.099999999999998
23,-11.980459770114942,0_4_4682 0_4_2531 3_3_8972 6_4_8972 0_1_1485 1_1_6535 0_2_8972 4_1_2987 5_0_8972 0_6_8972 2_4_8972 0_0_7030 3_0_3395 5_2_3177 0_3_6804 0_5_7674 0_1_5643 1_3_8972 0_2_4103 0_2_2531 1_4_8972 0_2_2170 0_2_5246 0_2_6339 0_1_7087 0_2_7674 5_1_8972 1_1_8972 0_4_1756 0_2_4862 3_3_5843 2_2_3708 3_1_1485 6_2_2628 0_3_7508 1_5_2170 2_0_7674 0_4_3177 0_2_4063 1_1_5749 0_1_5246 1_1_7269 0_0_6803 0_4_6718 3_6_1756 0_6_5246 5_6_6535 5_4_5843 0_3_2032 2_0_3177 1_5_3177 1_6_945 1_1_8022 4_6_7674 1_1_3630 1_0_6413 0_2_4682 0_6_5643,-15.39333333333333,-14.816666666666666,-14.106666666666666
24,-11.9132183908046,4_2_6339 2_2_8972 0_3_6804 0_4_3177 1_2_3177 0_2_5799 6_2_6339 5_1_2987 2_0_7674 0_3_2032 3_4_1034 3_1_3177 5_0_8972 0_2_8457 0_4_1485 0_4_8972 1_1_3630 0_1_3964 3_2_7603 0_1_7087 0_3_5706 6_3_7394 1_4_8972 1_3_8972 0_2_8972 0_2_2170 0_2_5246 0_1_5246 0_2_6339 0_2_7674 5_3_3177 0_1_5033 5_5_2987 2_3_7916 0_2_7269 1_1_1485 4_4_3667 0_3_6718 6_4_5843 3_6_2676 0_4_2032 0_6_4682 5_4_8491 1_6_2531 1_1_7087 3_3_5356 5_2_2987 0_3_5643 1_3_1680 0_2_3302 2_3_3177 5_5_8376 6_4_8092 0_5_4103 0_6_3395 1_4_6565 2_1_4273 0_3_4682,-15.39333333333333,-14.816666666666666,-14.008333333333335
25,-11.839080459770116,0_2_7674 3_2_3177 5_1_2987 3_3_3177 4_3_5643 6_3_8972 1_2_8972 1_5_8972 0_3_4682 0_6_3395 6_3_7674 4_3_3177 0_4_6339 6_2_8092 5_1_8972 0_3_8972 0_6_6364 2_3_3177 0_1_7087 3_4_3177 0_1_6853 2_3_8870 0_5_3240 6_3_7394 0_4_4682 4_2_3988 0_4_3177 1_4_8972 1_3_8972 0_2_8972 0_2_2170 0_3_2032 0_2_5246 0_1_5246 0_2_6339 3_2_6571 2_5_3395 1_1_6339 3_5_8454 2_4_3177 5_0_2987 0_2_708 0_3_7269 2_3_1724 0_4_829 5_3_8965 0_0_4273 1_1_713 4_3_4849 6_3_2826 5_0_171 0_4_1680 0_4_9192 0_4_5706 5_3_1557 0_2_8054 1_0_6565 3_1_3964,-15.39333333333333,-14.816666666666666,-14.068333333333333
26,-11.919298245614037,6_2_8092 6_3_8972 5_3_2987 0_4_2209 3_4_3177 3_1_8054 0_4_3474 1_1_713 5_3_3177 0_2_683 1_5_7623 1_3_8972 2_4_108 0_1_2987 0_2_8972 0_4_8972 0_4_6339 6_2_301 3_3_4302 2_4_8972 0_3_4682 0_6_8972 4_6_3780 4_6_907 0_1_3177 1_2_6765 5_3_8965 0_2_5246 0_2_8054 0_0_8972 6_2_5282 4_1_4517 1_4_8972 0_2_2170 0_3_2032 0_1_5246 0_2_6339 0_2_7674 0_1_7087 0_2_2949 4_3_2032 5_3_5459 1_0_2918 2_1_1444 6_3_8092 6_3_2032 0_3_8965 3_2_713 1_6_2987 0_1_8582 3_0_8972 1_4_7722 0_4_7269 3_3_8662 1_6_8656 6_2_2937 0_1_2170,-15.439999999999998,-14.863333333333333,-14.023333333333335
27,-12.144827586206898,0_0_8972 1_2_8972 0_2_7159 2_6_1179 3_3_8972 0_2_3177 0_1_2987 6_1_8972 5_6_2053 6_1_2987 6_2_340 6_3_2272 0_0_8092 5_1_2987 0_2_8972 3_1_3177 0_6_880 0_3_4682 2_5_3177 0_3_8965 0_1_6414 1_3_6054 3_0_8972 3_2_301 0_2_7674 3_4_8972 0_2_2937 3_6_9513 1_4_8972 1_3_8972 0_2_2170 0_1_2170 0_2_5246 0_3_2032 0_1_5246 0_2_6339 6_6_5246 3_5_3709 0_4_2949 5_6_3177 4_3_8511 1_6_2032 0_1_4682 5_1_4895 6_1_8965 2_0_713 2_2_6339 3_5_8054 3_3_2032 0_2_5282 2_0_2949 1_3_2032 1_5_2032 1_0_2032 0_2_7757 4_1_5282 6_2_9291 3_2_5282,-15.439999999999998,-14.863333333333333,-14.028333333333332
28,-11.35818181818182,0_2_7674 6_2_6323 4_4_8972 3_2_7674 4_0_8972 1_3_8972 5_1_4895 3_2_301 0_4_7674 0_2_8375 4_6_4037 5_3_7674 1_2_8972 0_2_6339 0_4_8972 6_2_2987 0_2_5246 1_0_8435 0_4_301 1_4_7674 4_3_8511 0_2_8972 1_4_8972 0_2_2170 0_1_2170 0_3_2032 0_1_5246 0_5_4696 6_2_6413 3_3_5830 0_2_9462 6_0_9412 6_2_5746 6_6_6339 5_3_3601 2_2_5465 1_0_7728 1_6_8503 3_2_2032 0_0_2170 0_4_8965 0_5_7875 6_0_2987 5_6_1444 6_5_340 3_3_4895 6_2_6282 1_1_2032 2_3_7626 5_3_3246 2_2_2032 5_6_2032 1_2_6229 0_3_6868 5_3_3659,-15.439999999999998,-14.88,-14.055000000000001
29,-11.982183908045977,0_1_2170 3_2_2032 0_2_5246 2_3_7626 6_2_9462 0_2_2987 0_1_7674 5_0_8972 6_0_2987 6_2_8972 0_2_8744 0_6_5246 4_2_8972 6_2_2987 0_3_6175 6_0_9412 5_4_2170 0_4_7674 0_2_8375 2_2_2102 0_6_6870 1_4_8972 1_3_8972 0_2_8972 0_2_2170 0_3_2032 0_1_5246 0_0_2170 0_2_6339 0_1_2032 0_2_5354 0_4_2170 6_4_3912 6_2_6720 0_3_6741 6_0_4201 6_0_2356 3_5_4696 1_2_2032 0_1_4490 0_2_8492 0_6_592 2_6_301 4_0_2170 6_4_6282 5_2_4048 5_4_7843 1_0_5994 6_5_1265 4_1_5246 1_6_2182 6_3_7934 6_5_9412 6_6_6793 1_0_4696 3_4_5668 2_1_2170 3_2_8585,-15.459999999999999,-14.926666666666668,-14.23
30,-12.174269005847954,2_2_8972 0_2_5246 0_4_2032 2_6_6585 1_2_2032 0_4_2170 0_2_764 3_2_8972 0_3_2170 6_3_7934 0_4_7674 1_2_8972 1_4_3985 4_0_8972 0_6_4503 1_4_8972 6_2_2170 0_0_2170 0_1_6741 2_1_2170 0_1_7674 1_3_8972 0_2_8972 4_1_5246 0_2_2170 0_1_2170 0_3_2032 0_1_5246 6_1_2170 5_4_7674 2_2_8562 0_2_6720 5_1_8375 2_4_1150 5_3_2170 6_4_4201 5_5_902 0_6_2170 2_2_9038 3_4_2032 1_0_2987 2_2_7626 1_2_5246 0_2_2032 5_2_7922 0_5_7626 3_2_4696 0_4_7843 4_4_7843 6_4_9349 5_5_7934 5_1_1211 6_4_9391 1_6_592 4_1_7843 1_0_8715 0_4_4535,-15.459999999999999,-14.936666666666667,-14.301666666666666
