gen,mean_score,compound,best_5_score,best_10_score,best_20_score
26,-11.401709401709402,5_3_40 0_0_40 0_2_40 1_3_40 4_6_40 0_3_40 0_3_318 4_3_40 1_4_232 5_3_279 0_4_83 4_3_177 0_5_40 6_1_40 4_1_40 5_1_40 5_1_409 0_3_372 5_3_9 0_3_17 6_2_40 5_6_40 3_3_40 2_3_216 2_3_40 1_3_62 0_3_78 0_1_182 4_3_165 4_3_74 3_5_288 4_6_216 0_3_100 ERROR_6_1_375 5_4_20 2_3_174 ERROR_0_2_236 0_0_143 ERROR_6_3_354,-14.913333333333336,-14.376666666666665,-13.661666666666665
27,-12.053658536585367,0_3_107 6_3_40 0_3_40 0_4_279 0_3_211 1_1_133 1_3_17 1_3_403 4_3_165 6_3_46 6_4_40 4_3_35 0_5_43 5_1_394 1_3_40 0_1_40 2_3_216 4_2_40 5_4_275 6_1_165 2_1_40 0_2_40 6_3_282 0_2_100 0_5_372 4_3_177 2_3_40 0_0_17 0_3_62 6_6_40 1_0_40 4_3_305 4_0_78 5_1_250 0_0_40 6_6_100 4_3_318 ERROR_0_3_415 1_2_51 0_6_78 6_3_318,-14.986666666666668,-14.186666666666667,-13.383333333333335
28,-11.707619047619048,0_3_40 2_3_40 3_3_395 0_1_40 6_0_40 3_3_377 0_3_78 5_0_40 0_3_373 6_3_40 5_3_100 0_2_40 0_3_367 0_4_279 0_4_40 5_3_250 2_6_40 0_3_213 2_0_24 0_3_248 6_2_391 5_3_40 4_3_232 0_0_40 2_3_98 0_3_142 5_1_374 ERROR_0_3_347 5_2_40 5_1_40 6_0_282 ERROR_0_0_113 0_1_250 3_5_372 ERROR_0_6_402,-15.186666666666667,-14.613333333333333,-13.751666666666669
29,-12.127642276422765,0_3_348 6_3_295 0_4_341 0_3_257 0_3_40 0_3_78 0_3_388 0_3_51 6_3_41 0_3_213 4_3_176 1_2_40 0_6_40 4_2_40 1_3_40 5_5_374 0_2_40 5_3_100 5_3_40 6_2_121 4_3_40 5_3_142 2_4_40 1_3_16 5_1_100 5_3_78 0_3_147 2_5_40 0_0_337 0_3_229 3_3_40 3_3_408 5_1_40 5_4_100 3_5_40 5_3_286 3_3_365 0_5_387 5_3_122 0_0_391 6_0_248,-15.12,-14.373333333333335,-13.508333333333331
30,-12.114492753623187,0_0_257 0_3_406 0_0_40 0_3_229 0_3_289 0_2_40 1_1_411 5_2_109 3_6_5 0_3_78 0_3_399 2_3_362 5_1_78 0_6_213 0_5_78 6_3_40 4_3_40 0_1_78 5_3_40 3_2_380 5_3_257 5_1_40 0_0_85 4_3_213 5_2_122 0_3_342 2_3_337 0_3_388 0_2_189 1_3_382 4_2_40 0_6_78 0_3_40 0_3_403 0_3_298 6_3_213 0_3_348 6_3_282 4_1_40 4_3_155 0_0_337 5_3_29 3_1_214 0_1_234 0_0_25 3_3_78,-14.886666666666667,-14.176666666666666,-13.435000000000002
31,-11.442028985507248,0_3_296 6_0_373 2_3_406 1_3_38 0_2_40 6_3_40 5_1_40 0_0_337 0_2_406 3_4_40 5_0_40 6_1_112 0_1_40 0_3_282 3_3_78 6_3_214 6_6_40 0_3_229 5_3_40 0_3_40 1_1_40 0_3_337 3_5_78 0_0_268 6_5_40 6_2_137 1_3_229 0_1_358 0_4_406 0_4_40 0_0_184 0_1_388 3_3_282 6_3_396 3_3_214 6_1_40 0_3_180 5_3_122 0_4_200 0_4_362 5_6_31 0_6_388 6_4_342 ERROR_5_3_415 6_2_101 ERROR_3_4_410,-15.040000000000001,-14.226666666666665,-13.39666666666667
32,-11.947154471544716,0_1_358 3_1_268 0_1_401 6_4_17 0_3_40 3_3_214 0_3_269 1_3_282 0_5_40 0_2_40 5_3_122 5_1_112 0_6_40 0_3_204 0_2_406 4_1_112 0_4_200 3_5_40 0_3_358 0_1_40 0_1_282 0_6_229 0_3_167 2_3_61 6_1_40 6_3_336 1_5_40 1_2_72 0_3_389 1_1_40 3_3_122 3_3_112 0_2_291 5_2_262 1_2_406 6_3_112 0_3_65 3_3_40 5_5_160 2_2_406 0_5_65,-14.526666666666666,-13.863333333333333,-13.208333333333334
33,-12.261788617886179,0_3_112 0_0_389 0_1_282 0_5_40 0_0_40 0_1_358 1_3_406 0_4_288 5_0_40 0_3_40 1_1_50 0_1_40 0_3_66 3_2_40 0_4_323 5_3_78 0_2_40 5_3_40 0_3_11 0_3_179 0_1_403 1_3_40 4_0_112 4_6_120 0_2_191 0_3_358 0_2_406 0_3_331 0_3_200 2_3_282 0_2_244 0_3_389 0_3_282 6_5_281 0_5_191 0_4_15 2_1_248 0_3_182 4_6_115 2_0_358 0_6_389,-14.973333333333334,-14.163333333333332,-13.601666666666668
34,-12.575213675213671,0_6_330 0_3_40 1_0_40 0_2_355 5_3_78 1_3_40 0_5_40 0_3_358 0_3_41 6_1_319 0_3_389 1_5_40 0_4_119 1_1_398 0_3_179 5_3_179 0_3_182 0_2_40 5_1_40 0_3_288 0_1_403 4_2_40 0_3_173 0_3_282 4_0_164 0_3_144 0_5_78 0_3_302 0_2_96 0_4_358 0_1_40 0_3_373 0_2_323 0_0_403 0_2_115 0_3_142 5_3_40 0_1_64 5_4_358,-14.973333333333334,-14.376666666666669,-13.804999999999998
35,-12.287681159420288,0_4_373 0_3_41 0_1_40 0_5_40 0_2_112 5_3_323 1_1_64 ERROR_0_3_415 0_1_277 6_2_179 0_6_179 0_2_43 0_5_173 4_3_270 4_3_40 0_3_40 1_1_398 4_1_40 0_3_96 5_3_40 0_3_373 2_4_40 5_3_373 0_3_65 6_3_40 0_6_173 6_2_367 0_3_240 5_1_64 0_3_115 5_1_105 5_2_179 0_5_179 0_3_119 3_3_40 0_3_9 3_1_40 0_0_390 0_2_40 0_3_323 4_5_259 0_1_93 4_4_164 5_5_179 6_3_301 4_3_349,-15.166666666666668,-14.633333333333335,-13.78166666666667
36,-12.548333333333334,0_3_9 0_4_9 5_1_64 3_1_398 5_3_373 4_3_40 1_1_398 1_1_64 1_3_250 0_2_43 6_3_40 0_0_390 0_0_40 0_4_40 0_4_217 0_3_40 6_3_240 6_3_17 0_2_303 0_6_9 0_1_9 5_3_40 5_0_390 4_1_64 3_3_40 1_3_81 0_3_400 0_0_282 0_3_1 0_0_373 2_4_40 0_3_217 0_1_350 0_3_132 2_3_65 3_3_93 5_5_96 2_1_277 2_5_64 3_3_96,-14.9,-14.266666666666666,-13.648333333333332
